Tempo,Output
   3.1485500e+01,   2.7931500e+01
   3.1683600e+01,   2.7932400e+01
   3.1881600e+01,   2.7933200e+01
   3.2079600e+01,   2.7933900e+01
   3.2277600e+01,   2.7934600e+01
   3.2475700e+01,   2.7935300e+01
   3.2673700e+01,   2.7936000e+01
   3.2871700e+01,   2.7936600e+01
   3.3069700e+01,   2.7937200e+01
   3.3267700e+01,   2.7937800e+01
   3.3465800e+01,   2.7938300e+01
   3.3663800e+01,   2.7938900e+01
   3.3861800e+01,   2.7939400e+01
   3.4059800e+01,   2.7939900e+01
   3.4257900e+01,   2.7940300e+01
   3.4455900e+01,   2.7940700e+01
   3.4653900e+01,   2.7941200e+01
   3.4851900e+01,   2.7941600e+01
   3.5050000e+01,   2.7941900e+01
   3.5248000e+01,   2.7942300e+01
   3.5446000e+01,   2.7942600e+01
   3.5644000e+01,   2.7943000e+01
   3.5842000e+01,   2.7943300e+01
   3.6040100e+01,   2.7943600e+01
   3.6238100e+01,   2.7943900e+01
   3.6436100e+01,   2.7944200e+01
   3.6634100e+01,   2.7944400e+01
   3.6832200e+01,   2.7944700e+01
   3.7030200e+01,   2.7944900e+01
   3.7228200e+01,   2.7945100e+01
   3.7426200e+01,   2.7945400e+01
   3.7624200e+01,   2.7945600e+01
   3.7822300e+01,   2.7945800e+01
   3.8020300e+01,   2.7946000e+01
   3.8218300e+01,   2.7946100e+01
   3.8416300e+01,   2.7946300e+01
   3.8614400e+01,   2.7946500e+01
